ID,Nombre,URL YouTube / Origen,Motivo del Fallo
714,"Bad Bunny, Omar Courtz, Dei V - VeLDÁ",https://www.youtube.com/watch?v=yIQ2VtGPt_E,YouTube rate-limited (Too many requests / IP blocked temporarily)
709,"Dupla, Raimundo el Canastero - Fandango Nasty",https://www.youtube.com/watch?v=dw57k96D7oQ,YouTube rate-limited (Too many requests / IP blocked temporarily)
708,Kaparrak - Loretxoa,https://www.youtube.com/watch?v=Hi0cHvALLsY,YouTube rate-limited (Too many requests / IP blocked temporarily)
707,Sully Riot - Lokaleko Leihotik,https://www.youtube.com/watch?v=bEZOO1a4luI,YouTube rate-limited (Too many requests / IP blocked temporarily)
706,Kaparrak - Galtzaile,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
704,Hemendik At - Goazen,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
702,Rauw Alejandro - CORAZÓN DESPEINADO,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
701,Fuego - Mambo para Bailar,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
700,"Metrika, Came Beats - CONEJITA PLAYBOY",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
699,"Emilia, TINI, Nicki Nicole - blackout 🧊",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
698,Bad Bunny - Enséñame a Bailar,https://www.youtube.com/watch?v=eopPKANmKyg,YouTube rate-limited (Too many requests / IP blocked temporarily)
697,"Bad Bunny, Bomba Estéreo - Ojitos Lindos",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
696,Quevedo - SCANDIC,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
